Shall the data only be made accessible after an embargo period has expired?,"Data Set ""Anforderungen_FDMP""",nein
Shall the data only be made accessible after an embargo period has expired?,"Data Set ""Anforderungen_RDMO""",nein
Shall the data only be made accessible after an embargo period has expired?,"Data Set ""Sourcecode  and Dokumentation""",nein
How is the identity of persons accessing the data verified?,"Data Set ""Anforderungen_FDMP""",tbd.
How is the identity of persons accessing the data verified?,"Data Set ""Anforderungen_RDMO""",noch zu klären
How is the identity of persons accessing the data verified?,"Data Set ""Sourcecode  and Dokumentation""",
When will the data be archived?,"Data Set ""Anforderungen_FDMP""",2019-10-31
When will the data be archived?,"Data Set ""Anforderungen_RDMO""",
When will the data be archived?,"Data Set ""Sourcecode  and Dokumentation""",
What personnel costs are incurred in connection with long-term archiving for this project?,,0.1 PM
How will the data management costs of the project be covered?,,"noch zu klären, institutionelle Übernahme"
What material costs are incurred in connection with long-term archiving for this project?,,0 Euro
